DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
1/1/2011,7.16,1323,1342,0.01,0,0,,58,34,200,190,17,21,1,,,,,,1,,,1,,,1,,,,
1/2/2011,10.96,440,438,0.06,0,0,,59,34,330,330,23,28,1,,,,,,,,,1,,,1,,,,
1/3/2011,10.29,306,305,0,0,0,,41,28,310,320,21.9,28,,,,,,,,,,,,,,,,,
1/4/2011,6.49,954,953,0,0,0,,43,25,210,210,15,17,,,,,,,,,,,,,,,,,
1/5/2011,8.5,955,250,0,0,0,,43,31,340,310,17,23,,,,,,,,,,,,,,,,,
1/6/2011,4.7,1221,2218,0,0,0,,41,28,300,170,14.1,17,,,,,,,,,,,,,,,1,,
1/7/2011,7.16,905,1029,0,0,0,,35,31,320,280,17,23,,,,,,,,,,,,,,,1,,
1/8/2011,11.41,1518,1517,0.02,0.4,0,,35,24,320,320,25.9,36.9,1,1,,,,,,,,1,,,,,1,,1
1/9/2011,14.99,1625,852,0,0,0,,36,23,300,300,25.9,36,,,,,,,,,,,,,,,,,
1/10/2011,8.95,1257,930,0,0,0,,35,25,340,340,16.1,21.9,,,,,,,,,,,,,,,,,
1/11/2011,4.03,1639,1635,0.11,1,0,,34,28,120,120,10.1,13,1,,,,,,1,,,,1,1,1,,1,,
1/12/2011,12.53,1412,2143,0,0,1,,36,27,320,320,28,40.9,,,,,,,,,,,,,,,,,
1/13/2011,12.3,1103,1057,0,0,0,,37,26,310,320,25.1,33.1,,,,,,,,,,,,,,,,,
1/14/2011,5.37,1249,1249,0,0,0,,37,23,290,280,17,23.9,,,,,,,,,,,,,,,,,
1/15/2011,6.49,1427,1501,0,0,0,,46,28,190,210,16.1,21,,,,,,,,,,,,,,,,,
1/16/2011,8.5,746,745,0,0,0,,42,31,340,350,23,25.1,,,,,,,,,,,,,,,,,
1/17/2011,8.05,2226,2226,0.24,0.2,0,,33,29,50,50,14.1,16.1,1,,,1,,,,,,,,,1,1,1,,
1/18/2011,8.5,750,749,0.19,0,0,,36,30,320,320,17.9,21.9,1,,,1,,,,,,,1,,1,1,,,
1/19/2011,8.72,2253,1925,0.02,0,0,,53,35,320,310,21.9,30,1,1,,,,,1,,,,1,,1,,,,
1/20/2011,8.5,5,5,0,0,0,,44,35,310,310,19.9,25.9,,,,,,,,,,,,,,,1,,
1/21/2011,14.32,1301,1334,0.01,0.1,0,,39,20,280,330,29.1,38,1,,,,,,,,,,,,1,,1,,
1/22/2011,7.38,32,31,0,0,0,,28,17,330,330,23,29.1,,,,,,,,,,,,,,,,,
1/23/2011,10.07,1418,1514,0,0,0,,32,18,330,320,21.9,28,,,,,,,,,,,,,,,,,
1/24/2011,6.93,1531,257,0,0,0,,32,17,180,20,14.1,17,,,,,,,,,,,,,,,,,
